,ImgPath,Class
0,data/Furniture_Data\beds\Transitional\5781transitional-panel-beds.jpg,beds
1,data/Furniture_Data\beds\Contemporary\241contemporary-platform-beds.jpg,beds
2,data/Furniture_Data\beds\Tropical\10407tropical-panel-beds.jpg,beds
3,external_resources\beds\TYRXFFAYAI3O_aug.jpg,beds
4,augmentation\beds\8230craftsman-bunk-beds_aug_7905.png,beds
5,augmentation\beds\7207traditional-panel-beds_aug_6218.png,beds
6,data/Furniture_Data\beds\Contemporary\1490contemporary-platform-beds.jpg,beds
7,augmentation\beds\3406transitional-panel-beds_aug_7247.png,beds
8,augmentation\beds\6445traditional-daybeds_aug_6641.png,beds
9,data/Furniture_Data\beds\Transitional\9333transitional-platform-beds.jpg,beds
10,data/Furniture_Data\beds\Traditional\6828traditional-panel-beds.jpg,beds
11,external_resources\beds\SM1RC1MOAM08_aug.jpg,beds
12,augmentation\beds\6713traditional-sleigh-beds_aug_7523.png,beds
13,augmentation\beds\7073traditional-panel-beds_aug_5542.png,beds
14,data/Furniture_Data\beds\Farmhouse\8371farmhouse-bunk-beds.jpg,beds
15,data/Furniture_Data\beds\Contemporary\138contemporary-platform-beds.jpg,beds
16,data/Furniture_Data\beds\Contemporary\1155contemporary-kids-beds.jpg,beds
17,external_resources\beds\YL4BE89V4X5N.jpg,beds
18,augmentation\beds\7087traditional-platform-beds_aug_6595.png,beds
19,augmentation\beds\7664craftsman-kids-bedroom-furniture-sets_aug_7303.png,beds
20,data/Furniture_Data\beds\Contemporary\1511contemporary-kids-beds.jpg,beds
21,external_resources\beds\8G2ST3LJO1Q9.jpg,beds
22,data/Furniture_Data\beds\Traditional\6487traditional-daybeds.jpg,beds
23,data/Furniture_Data\beds\Contemporary\1287contemporary-panel-beds.jpg,beds
24,data/Furniture_Data\beds\Farmhouse\8379farmhouse-kids-beds.jpg,beds
25,augmentation\beds\7434traditional-panel-beds_aug_6772.png,beds
26,external_resources\beds\7OJ1FJKV1TD0.jpg,beds
27,augmentation\beds\2119contemporary-panel-beds_aug_7085.png,beds
28,data/Furniture_Data\beds\Transitional\2703transitional-canopy-beds.jpg,beds
29,data/Furniture_Data\beds\Transitional\9376transitional-panel-beds.jpg,beds
30,data/Furniture_Data\beds\Transitional\9550transitional-kids-beds.jpg,beds
31,data/Furniture_Data\beds\Craftsman\8316craftsman-panel-beds.jpg,beds
32,data/Furniture_Data\beds\Modern\4801modern-platform-beds.jpg,beds
33,augmentation\beds\1848contemporary-platform-beds_aug_7335.png,beds
34,data/Furniture_Data\beds\Transitional\10171transitional-bunk-beds.jpg,beds
35,data/Furniture_Data\beds\Tropical\10417tropical-panel-beds.jpg,beds
36,augmentation\beds\7590transitional-daybeds_aug_7669.png,beds
37,data/Furniture_Data\beds\Traditional\6471traditional-sleigh-beds.jpg,beds
38,data/Furniture_Data\beds\Traditional\7129traditional-panel-beds.jpg,beds
39,data/Furniture_Data\beds\Modern\4527modern-panel-beds.jpg,beds
40,augmentation\beds\8336craftsman-platform-beds_aug_4858.png,beds
41,augmentation\beds\1846contemporary-platform-beds_aug_7701.png,beds
42,augmentation\beds\6646traditional-platform-beds_aug_7944.png,beds
43,data/Furniture_Data\beds\Traditional\5089traditional-canopy-beds.jpg,beds
44,data/Furniture_Data\beds\Modern\4668modern-panel-beds.jpg,beds
45,augmentation\beds\1103contemporary-panel-beds_aug_4920.png,beds
46,data/Furniture_Data\beds\Southwestern\9063southwestern-panel-beds.jpg,beds
47,data/Furniture_Data\beds\Traditional\5319traditional-kids-beds.jpg,beds
48,data/Furniture_Data\beds\Transitional\9660transitional-sleigh-beds.jpg,beds
49,data/Furniture_Data\beds\Traditional\2614traditional-platform-beds.jpg,beds
