ImgPath,Class,Style
augmentation_Task3_2\beds\Asian\8109asian-panel-beds_aug_114.png,beds,Asian
augmentation_Task3_2\beds\Asian\3110asian-platform-beds_aug_146.png,beds,Asian
augmentation_Task3_2\beds\Asian\3368asian-panel-beds_aug_45.png,beds,Asian
augmentation_Task3_2\beds\Asian\7957asian-platform-beds_aug_175.png,beds,Asian
augmentation_Task3_2\beds\Asian\8109asian-panel-beds_aug_184.png,beds,Asian
data/Furniture_Data\beds\Asian\3166asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\20027asian-canopy-beds_aug_98.png,beds,Asian
augmentation_Task3_2\beds\Asian\7815asian-platform-beds_aug_151.png,beds,Asian
augmentation_Task3_2\beds\Asian\7634asian-daybeds_aug_145.png,beds,Asian
augmentation_Task3_2\beds\Asian\7738asian-daybeds_aug_154.png,beds,Asian
augmentation_Task3_2\beds\Asian\7842asian-platform-beds_aug_137.png,beds,Asian
augmentation_Task3_2\beds\Asian\2709asian-platform-beds_aug_94.png,beds,Asian
augmentation_Task3_2\beds\Asian\2537asian-platform-beds_aug_143.png,beds,Asian
data/Furniture_Data\beds\Asian\20109asian-panel-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\3099asian-platform-beds_aug_188.png,beds,Asian
data/Furniture_Data\beds\Asian\20027asian-canopy-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\2637asian-platform-beds_aug_152.png,beds,Asian
augmentation_Task3_2\beds\Asian\8106asian-daybeds_aug_191.png,beds,Asian
augmentation_Task3_2\beds\Asian\3368asian-panel-beds_aug_185.png,beds,Asian
augmentation_Task3_2\beds\Asian\7717asian-daybeds_aug_134.png,beds,Asian
augmentation_Task3_2\beds\Asian\3314asian-platform-beds_aug_52.png,beds,Asian
augmentation_Task3_2\beds\Asian\2730asian-platform-beds_aug_77.png,beds,Asian
augmentation_Task3_2\beds\Asian\2709asian-platform-beds_aug_164.png,beds,Asian
augmentation_Task3_2\beds\Asian\7815asian-platform-beds_aug_186.png,beds,Asian
augmentation_Task3_2\beds\Asian\2730asian-platform-beds_aug_112.png,beds,Asian
augmentation_Task3_2\beds\Asian\8106asian-daybeds_aug_51.png,beds,Asian
augmentation_Task3_2\beds\Asian\2730asian-platform-beds_aug_182.png,beds,Asian
augmentation_Task3_2\beds\Asian\8111asian-platform-beds_aug_173.png,beds,Asian
augmentation_Task3_2\beds\Asian\7850asian-platform-beds_aug_194.png,beds,Asian
augmentation_Task3_2\beds\Asian\7842asian-platform-beds_aug_172.png,beds,Asian
augmentation_Task3_2\beds\Asian\7717asian-daybeds_aug_169.png,beds,Asian
augmentation_Task3_2\beds\Asian\7634asian-daybeds_aug_110.png,beds,Asian
augmentation_Task3_2\beds\Asian\2537asian-platform-beds_aug_108.png,beds,Asian
augmentation_Task3_2\beds\Asian\8106asian-daybeds_aug_86.png,beds,Asian
augmentation_Task3_2\beds\Asian\8111asian-platform-beds_aug_138.png,beds,Asian
data/Furniture_Data\beds\Asian\7850asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\2709asian-platform-beds_aug_199.png,beds,Asian
augmentation_Task3_2\beds\Asian\3099asian-platform-beds_aug_48.png,beds,Asian
data/Furniture_Data\beds\Asian\8108asian-platform-beds.jpg,beds,Asian
data/Furniture_Data\beds\Asian\7634asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\8115asian-daybeds_aug_95.png,beds,Asian
augmentation_Task3_2\beds\Asian\20109asian-panel-beds_aug_193.png,beds,Asian
data/Furniture_Data\beds\Asian\8111asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7733asian-panel-beds_aug_120.png,beds,Asian
data/Furniture_Data\beds\Asian\3314asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7577asian-daybeds_aug_179.png,beds,Asian
augmentation_Task3_2\beds\Asian\8111asian-platform-beds_aug_103.png,beds,Asian
augmentation_Task3_2\beds\Asian\7593asian-daybeds_aug_78.png,beds,Asian
data/Furniture_Data\beds\Asian\2730asian-platform-beds.jpg,beds,Asian
data/Furniture_Data\beds\Asian\7842asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\8115asian-daybeds_aug_130.png,beds,Asian
augmentation_Task3_2\beds\Asian\7577asian-daybeds_aug_144.png,beds,Asian
augmentation_Task3_2\beds\Asian\2871asian-panel-beds_aug_167.png,beds,Asian
augmentation_Task3_2\beds\Asian\3112asian-daybeds_aug_198.png,beds,Asian
augmentation_Task3_2\beds\Asian\7593asian-daybeds_aug_43.png,beds,Asian
augmentation_Task3_2\beds\Asian\8109asian-panel-beds_aug_79.png,beds,Asian
augmentation_Task3_2\beds\Asian\8103asian-canopy-beds_aug_56.png,beds,Asian
augmentation_Task3_2\beds\Asian\7815asian-platform-beds_aug_46.png,beds,Asian
augmentation_Task3_2\beds\Asian\8108asian-platform-beds_aug_131.png,beds,Asian
augmentation_Task3_2\beds\Asian\8102asian-sleigh-beds_aug_197.png,beds,Asian
augmentation_Task3_2\beds\Asian\2637asian-platform-beds_aug_47.png,beds,Asian
augmentation_Task3_2\beds\Asian\7873asian-platform-beds_aug_177.png,beds,Asian
augmentation_Task3_2\beds\Asian\7738asian-daybeds_aug_189.png,beds,Asian
augmentation_Task3_2\beds\Asian\7793asian-platform-beds_aug_160.png,beds,Asian
augmentation_Task3_2\beds\Asian\3314asian-platform-beds_aug_122.png,beds,Asian
data/Furniture_Data\beds\Asian\3368asian-panel-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7815asian-platform-beds_aug_116.png,beds,Asian
augmentation_Task3_2\beds\Asian\8106asian-daybeds_aug_156.png,beds,Asian
augmentation_Task3_2\beds\Asian\3166asian-daybeds_aug_71.png,beds,Asian
data/Furniture_Data\beds\Asian\7854asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\20109asian-panel-beds_aug_123.png,beds,Asian
augmentation_Task3_2\beds\Asian\7593asian-daybeds_aug_113.png,beds,Asian
augmentation_Task3_2\beds\Asian\3099asian-platform-beds_aug_153.png,beds,Asian
augmentation_Task3_2\beds\Asian\7733asian-panel-beds_aug_85.png,beds,Asian
augmentation_Task3_2\beds\Asian\7854asian-daybeds_aug_104.png,beds,Asian
augmentation_Task3_2\beds\Asian\7717asian-daybeds_aug_99.png,beds,Asian
augmentation_Task3_2\beds\Asian\2637asian-platform-beds_aug_82.png,beds,Asian
augmentation_Task3_2\beds\Asian\7854asian-daybeds_aug_174.png,beds,Asian
augmentation_Task3_2\beds\Asian\8106asian-daybeds_aug_121.png,beds,Asian
augmentation_Task3_2\beds\Asian\3413asian-platform-beds_aug_65.png,beds,Asian
data/Furniture_Data\beds\Asian\3110asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7577asian-daybeds_aug_74.png,beds,Asian
augmentation_Task3_2\beds\Asian\3314asian-platform-beds_aug_192.png,beds,Asian
augmentation_Task3_2\beds\Asian\7957asian-platform-beds_aug_105.png,beds,Asian
data/Furniture_Data\beds\Asian\8102asian-sleigh-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7957asian-platform-beds_aug_35.png,beds,Asian
augmentation_Task3_2\beds\Asian\2709asian-platform-beds_aug_59.png,beds,Asian
augmentation_Task3_2\beds\Asian\8115asian-daybeds_aug_165.png,beds,Asian
augmentation_Task3_2\beds\Asian\7793asian-platform-beds_aug_55.png,beds,Asian
data/Furniture_Data\beds\Asian\2871asian-panel-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7957asian-platform-beds_aug_70.png,beds,Asian
data/Furniture_Data\beds\Asian\8106asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7593asian-daybeds_aug_148.png,beds,Asian
data/Furniture_Data\beds\Asian\7738asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\3110asian-platform-beds_aug_41.png,beds,Asian
augmentation_Task3_2\beds\Asian\8111asian-platform-beds_aug_68.png,beds,Asian
augmentation_Task3_2\beds\Asian\7733asian-panel-beds_aug_155.png,beds,Asian
augmentation_Task3_2\beds\Asian\3413asian-platform-beds_aug_135.png,beds,Asian
augmentation_Task3_2\beds\Asian\7793asian-platform-beds_aug_125.png,beds,Asian
augmentation_Task3_2\beds\Asian\7854asian-daybeds_aug_139.png,beds,Asian
augmentation_Task3_2\beds\Asian\3413asian-platform-beds_aug_100.png,beds,Asian
data/Furniture_Data\beds\Asian\3413asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7957asian-platform-beds_aug_140.png,beds,Asian
augmentation_Task3_2\beds\Asian\3368asian-panel-beds_aug_150.png,beds,Asian
augmentation_Task3_2\beds\Asian\4972asian-platform-beds_aug_136.png,beds,Asian
augmentation_Task3_2\beds\Asian\7842asian-platform-beds_aug_67.png,beds,Asian
augmentation_Task3_2\beds\Asian\8102asian-sleigh-beds_aug_127.png,beds,Asian
data/Furniture_Data\beds\Asian\8115asian-daybeds.jpg,beds,Asian
data/Furniture_Data\beds\Asian\3112asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\3112asian-daybeds_aug_163.png,beds,Asian
augmentation_Task3_2\beds\Asian\4972asian-platform-beds_aug_171.png,beds,Asian
augmentation_Task3_2\beds\Asian\8103asian-canopy-beds_aug_161.png,beds,Asian
augmentation_Task3_2\beds\Asian\2637asian-platform-beds_aug_117.png,beds,Asian
augmentation_Task3_2\beds\Asian\7850asian-platform-beds_aug_54.png,beds,Asian
augmentation_Task3_2\beds\Asian\4972asian-platform-beds_aug_66.png,beds,Asian
augmentation_Task3_2\beds\Asian\7593asian-daybeds_aug_183.png,beds,Asian
augmentation_Task3_2\beds\Asian\7738asian-daybeds_aug_49.png,beds,Asian
augmentation_Task3_2\beds\Asian\7854asian-daybeds_aug_69.png,beds,Asian
augmentation_Task3_2\beds\Asian\7842asian-platform-beds_aug_102.png,beds,Asian
augmentation_Task3_2\beds\Asian\8103asian-canopy-beds_aug_91.png,beds,Asian
augmentation_Task3_2\beds\Asian\8108asian-platform-beds_aug_61.png,beds,Asian
augmentation_Task3_2\beds\Asian\3099asian-platform-beds_aug_118.png,beds,Asian
data/Furniture_Data\beds\Asian\7873asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\3112asian-daybeds_aug_93.png,beds,Asian
augmentation_Task3_2\beds\Asian\3166asian-daybeds_aug_176.png,beds,Asian
augmentation_Task3_2\beds\Asian\2709asian-platform-beds_aug_129.png,beds,Asian
augmentation_Task3_2\beds\Asian\3314asian-platform-beds_aug_87.png,beds,Asian
augmentation_Task3_2\beds\Asian\8102asian-sleigh-beds_aug_57.png,beds,Asian
